-6.8218,1.1724,-4.1349,2.2883,5.3228,-0.38569,5.6066
-8.6346,-1.4562,-0.14938,-0.61173,-8.1762e-17,0.13411,0
-6.8408,-1.2514,-1.5512,2.8235,2.4465,-0.86498,1.0442
-6.8626,0.0092844,1.541,1.9233,1.9141,-3.5509,3.0821
-34.236,-0.46496,-2.3041,1.1332,2.427e-16,1.3896,0
-6.7399,1.7128,5.9061,1.7213,-3.3681,-2.6837,-4.604
-7.0241,-4.6574,2.1509,-0.76231,1.0857,-4.7657,-2.6796
-6.2444,-1.4177,1.7995,2.2501,1.565,-1.6082,0.66073
-8.6693,-0.37567,-0.73011,1.4301,0,0.78475,-4.0016e-16
-6.7151,3.8538,-1.7316,4.0955,0.29486,-0.53557,3.7668
-10.049,0.0054238,-0.80884,1.0526,0,0.67465,1.0356e-17
-6.4456,1.5713,-1.1077,-0.83503,2.7283,-0.47876,2.012
-6.7654,0.083714,-0.36954,-0.82614,2.4481,0.59343,-2.4161
-10.068,-0.034192,0.81716,1.141,1.9841e-16,-0.39691,0
-6.616,-5.8535,5.8212,1.3622,2.2255,-5.3136,4.1158
-6.7881,1.2405,-0.83088,-1.263,-2.9957,2.8573,-5.9443
-6.5024,-3.4764,1.8051,-5.2785,-3.4677e-16,-24.152,0
-6.6803,4.502,-6.3534,-0.9256,-0.43798,-4.0689,3.7711
-6.9555,-4.5988,-2.8761,-0.86125,-3.5796,-2.5644,5.1965
-6.7863,-1.0602,2.1714,0.91404,3.4122e-17,-2.4957,0
-6.7195,-4.7379,5.3232,0.21041,0.077269,-5.5137,-2.4453
-6.4779,4.3042,2.6337,0.24774,1.5756,-5.5567,5.9284
-6.8549,6.2609,-1.5022,-3.6625,-2.3615,6.5469,-4.4022
-7.9189,-1.1214,5.2438,-3.3183,-2.7461e-16,-4.6648,0
-6.3053,1.9523,1.9802,-0.12021,2.4819,-1.8536,0.28691
-6.8038,0,-1.0289e-06,0.061451,4.0797,1.0181e-06,-0.39779
-6.769,0.26204,-0.887,1.5564,-3.1865,-1.1952,2.0871
-6.9295,2.7076,-6.2479,-0.093807,4.2783,6.6419,-6.6279
-14.648,1.6193,0.71524,-1.4586,0,-1.5862,-6.5068e-17
-6.9984,-3.2375,-1.3223,3.5278,5.1577,-6.3504,6.0128
-7.4531,-4.6086,5.6802,3.1699,-3.2002,-6.802,4.4047
-6.5964,1.9226,-3.3837,4.7709,0.16638,2.7349,0.36919
-9.2575,-0.65866,-1.3875,1.2923,-8.7531e-17,1.1749,0
-7.0192,0.79028,-6.4838,5.1536,-1.7528,-1.5643,5.1305
-6.7713,-1.7179,0.65368,-5.1131,0.30222,5.0583,0.023263
-7.391,1.2067,1.6849,-3.3521,0.55671,-2.3934,3.5032
-7.1869,1.2572,1.5369,-3.9791,-3.4748,0.87956,-5.0707
-8.1651,3.6357,0.43911,0.96338,4.9269,-2.5466,-3.8775
