-5.8994,-1.6276,3.8023,-4.4336,0.16094
-6.2223,3.9987,-5.6062,2.1306,5.2365
-5.6872,1.5217,-1.5524,0.60532,1.696
-6.0394,-1.7156,2.4698,4.4567,-2.5394
-6.5752,-5.4955,6.3267,0.95492,-1.194
-6.3143,1.9431,-5.5468,-4.102,4.8891
-6.0612,-4.6314,4.9724,-2.6592,-4.7327
-6.0035,-4.338,-3.1211,2.8695,0.90072
-6.0901,-4.9742,5.5507,2.3694,-1.065
-6.7406,3.973,-4.1078,-1.0762,4.8997
-6.1752,1.6331,-4.9884,-1.8234,5.9237
-6.3785,-3.8026,5.8094,-4.5413,-6.1538
-5.8135,-5.5708,3.6395,-1.5084,-2.9022
-5.9264,4.7239,-5.3354,0.016769,5.4256
-6.6021,3.8427,4.0302,-4.9973,-0.7351
-5.8758,-2.1797,-0.11516,-1.41,5.7937
-6.1638,0.97494,-5.3405,4.7117,5.8082
-6.1338,-4.1132,-1.9517,1.8567,-6.1879
-7.0044,-3.2148,-1.1431,1.6207,0.17767
-5.8633,2.9144,-4.6103,1.759,5.7048
-6.5117,1.8061,-5.6307,4.9118,3.3468
-6.0609,5.967,2.4556,-3.9736,1.8668
-6.2036,-2.8984,1.2321,-0.33814,3.1811
-6.0001,-1.248,2.1806,1.5002,4.3354
-7.3189,-2.4811,4.508,2.7222,-3.7254
-6.1222,-3.6934,3.6658,1.1678,1.5316
-7.0123,-4.311,5.534,3.4499,-6.1959
-6.238,0.4006,-2.4094,2.6308,4.3027
-5.9409,3.7654,-5.8592,-0.75784,5.9914
-6.0707,-3.4502,-1.8071,3.9782,-0.12873
-6.474,-5.8233,5.9664,-3.2932,-5.0381
-5.7657,-3.7183,5.3596,-1.312,-3.3156
-6.0345,5.3563,-3.2069,-3.6629,-0.398
-5.8554,1.8293,1.4917,-5.1975,-3.6689
-6.9724,0.35912,5.6988,2.7501,6.1731
-6.4833,3.3329,-2.412,-0.16546,4.6828
-6.4394,4.1895,-5.8548,2.4171,6.3976
-6.6444,4.0585,-3.6023,0.81952,2.9073
-6.3969,2.2565,-4.0801,2.004,4.2345
-6.5327,-3.3954,-6.1513,-1.3599,2.7077
-6.1789,-3.4514,5.1888,3.1377,-6.1548
-5.7955,-2.5794,5.1437,-3.8114,-4.785
-6.1451,-3.1526,-4.7778,-3.4338,3.2376
-6.2213,-2.5778,5.1128,-1.132,0.92888
-6.3621,5.403,-5.7371,4.5341,5.4087
-6.2754,-2.0933,2.9371,2.654,-3.0193
-6.3985,-1.36,-3.1894,3.7773,-5.5642
-6.2504,4.5561,2.7696,0.24898,-0.32547
-5.797,1.9099,-4.5424,3.8107,4.9368
-6.4887,5.2096,-2.9986,-1.0475,-0.15257
-6.456,-4.3011,3.1188,-0.18926,-6.2541
-6.0087,-0.04041,4.5161,-3.5536,-1.7655
-6.145,1.4196,3.6208,-4.1232,-4.033
-6.3037,-3.8502,5.0113,-3.0099,-5.8402
-6.502,4.2755,-1.8474,-0.32134,5.0101
-7.2776,-0.94447,5.8763,-5.9451,5.3984
-6.4705,-4.7638,6.1244,-4.1183,-1.38
-6.7995,4.4223,-5.3183,1.2836,5.2619
-6.8577,-5.4402,5.2334,2.0712,-6.7345
-7.3618,3.3312,-6.9708,-2.3379,6.0357
-6.2708,4.9729,-6.0317,-1.1423,5.9611
-6.1045,-2.9806,2.2832,-4.2726,0.81489
-6.4663,5.2307,5.3038,-4.5289,-2.122
-5.9184,1.9984,3.8506,-2.5632,-4.0092
-5.9595,-4.4565,4.6735,0.83791,-5.1763
-6.6051,3.1196,5.4982,-3.0295,5.5975
-6.5968,4.6971,-6.2439,4.8404,6.3096
-5.7163,-2.6078,5.3978,-2.1511,-0.66246
-6.2361,1.8937,-5.9086,1.9427,4.7878
-6.9308,2.5301,-5.3205,-3.6376,-3.6774
-7.0796,2.0642,3.678,0.84479,-0.81665
-5.7594,-3.4735,4.4416,1.2913,-5.1349
-8.1775,6.6867,-7.425,-2.2047,4.3367
